Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,Document Verified,English Marks,Offered
Application Fee Received,876,Bahawalpur,Punjab,42,862,839,152,171,155,126,0,0,0,0,No
Application Fee Received,954,Bahawalpur,Punjab,55,906,904,173,177,161,0,156,0,0,0,No
Application Fee Received,956.364,Bahawalpur,Punjab,74,722,887,0,0,0,0,0,0,0,0,No
Application Fee Received,1029.364,Bahawalpur,Punjab,84,877,950,169,173,182,172,0,0,1,0,No
Application Fee Received,949,Bahawalpur,Punjab,69,933,885,160,157,149,160,45,0,0,0,No
Application Fee Received,879,Bahawalpur,Punjab,47,806,837,160,150,134,171,42,42,0,0,No
Application Fee Received,998.636,Bahawalpur,Punjab,75,888,933,165,180,167,170,45,45,0,0,No
Application Fee Received,1032,Bahawalpur,Punjab,67,893,980,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,863,Bahawalpur,Punjab,69,856,799,143,0,0,0,0,0,1,0,No
Application Fee Received,879,Bahawalpur,Punjab,52,872,832,142,152,46,154,42,159,0,0,No
Application Fee Received,704,Bahawalpur,Punjab,42,655,667,111,41,36,104,113,136,0,0,No
Application Fee Received,936,Bahawalpur,Punjab,52,802,889,165,44,42,178,155,162,0,0,No
Application Fee Received,747,Bahawalpur,Punjab,50,773,702,151,127,105,114,36,37,0,0,No
Application Fee Received,804,Bahawalpur,Punjab,49,724,760,148,123,135,0,152,0,0,0,No
Application Fee Received,986.364,Bahawalpur,Punjab,74,814,922,168,183,162,173,0,0,0,0,No
Application Fee Received,1023,Bahawalpur,Punjab,82,910,946,185,152,175,46,177,0,1,0,No
Application Fee Received,1023.545,Bahawalpur,Punjab,81,951,947,180,180,186,40,173,45,0,0,No
Challan Printed,902.273,Bahawalpur,Punjab,57,802,850,147,165,158,148,0,0,0,0,No
