Application Status,Domicile,Gender,Province,Admission Test,SSC,Terminal Degree,Document Verified,English Marks,Offered
Complete,Bahawalpur,male,Punjab,52,743,662,0,0,No
Complete,Bahawalpur,male,Punjab,51,735,773,1,0,No
Complete,Bahawalpur,male,Punjab,63,592,562,0,0,No
No,Bahawalpur,male,Punjab,50,658,646,0,0,No
Complete,Bahawalpur,male,Punjab,54,607,783,0,0,No
Complete,Bahawalpur,male,Punjab,54,828,846,1,0,Yes
Complete,Bahawalpur,female,Punjab,47,555,531,0,0,No
No,Bahawalpur,male,Punjab,54,700,737,0,0,No
Complete,Bahawalpur,male,Punjab,46,868,802,0,0,No
Complete,Bahawalpur,male,Punjab,56,838,828,0,0,No
No,Bahawalpur,male,Punjab,54,838,693,0,0,No
No,Bahawalpur,male,Punjab,43,803,894,0,0,No
Complete,Bahawalpur,male,Punjab,43,580,614,0,0,No
Complete,Bahawalpur,female,Punjab,56,833,637,0,0,No
Complete,Bahawalpur,male,Punjab,40,686,618,0,0,No
Complete,Bahawalpur,female,Punjab,62,910,874,1,0,Yes
Complete,Bahawalpur,male,Punjab,56,810,782,0,0,No
Complete,Bahawalpur,female,Punjab,50,725,867,1,0,Yes
Complete,Bahawalpur,male,Punjab,55,577,705,0,0,No
Complete,Bahawalpur,male,Punjab,48,675,652,0,0,No
Complete,Bahawalpur,female,Punjab,59,924,854,1,0,Yes
Complete,Bahawalpur,male,Punjab,54,762,662,0,0,No
Complete,Bahawalpur,female,Punjab,47,780,745,0,0,No
Complete,Bahawalpur,male,Punjab,34,518,720,0,0,No
Complete,Bahawalpur,male,Punjab,50,910,760,0,0,No
Complete,Bahawalpur,female,Punjab,54,851,813,1,0,No
Complete,Bahawalpur,male,Punjab,45,729,529,0,0,No
Complete,Bahawalpur,male,Punjab,52,756,792,0,0,No
No,Bahawalpur,male,Punjab,41,830,657,0,0,No
Complete,Bahawalpur,female,Punjab,50,761,686,0,0,No
Complete,Bahawalpur,male,Punjab,65,834,814,1,0,Yes
Complete,Bahawalpur,male,Punjab,52,641,575,0,0,No
Complete,Bahawalpur,male,Punjab,51,544,731,0,0,No
Complete,Bahawalpur,male,Punjab,42,511,595,0,0,No
Complete,Bahawalpur,male,Punjab,47,738,812,0,0,No
Complete,Bahawalpur,male,Punjab,60,578,552,0,0,No
Complete,Bahawalpur,male,Punjab,61,841,685,0,0,No
No,Bahawalpur,male,Punjab,45,771,724,0,0,No
Complete,Bahawalpur,male,Punjab,42,584,571,0,0,No
Complete,Bahawalpur,male,Punjab,40,818,642,0,0,No
Complete,Bahawalpur,male,Punjab,40,834,777,0,0,No
Complete,Bahawalpur,female,Punjab,50,863,752,0,0,No
Complete,Bahawalpur,male,Punjab,47,800,726,0,0,No
Complete,Bahawalpur,male,Punjab,48,724,666,0,0,No
Complete,Bahawalpur,male,Punjab,65,636,618,0,0,No
Complete,Bahawalpur,male,Punjab,59,760,756,0,0,No
No,Bahawalpur,male,Punjab,43,603,626,0,0,No
Complete,Bahawalpur,male,Punjab,50,860,855,1,0,No
No,Bahawalpur,male,Punjab,53,687,801,0,0,No
No,Bahawalpur,male,Punjab,41,808,880,0,0,No
Complete,Bahawalpur,male,Punjab,52,551,697,0,0,No
Complete,Bahawalpur,male,Punjab,50,756,643,0,0,No
Complete,Bahawalpur,female,Punjab,53,903,859,1,0,Yes
Complete,Bahawalpur,male,Punjab,52,877,897,1,0,Yes
Complete,Bahawalpur,male,Punjab,50,666,649,0,0,No
Complete,Bahawalpur,male,Punjab,51,705,664,0,0,No
Complete,Bahawalpur,male,Punjab,41,902,588,0,0,No
Complete,Bahawalpur,male,Punjab,51,680,751,0,0,No
No,Bahawalpur,male,Punjab,53,583,552,0,0,No
Complete,Bahawalpur,male,Punjab,28,526,824,0,0,No
Complete,Bahawalpur,male,Punjab,55,898,749,0,0,No
Complete,Bahawalpur,male,Punjab,53,800,767,0,0,No
Complete,Bahawalpur,male,Punjab,48,764,589,0,0,No
Complete,Bahawalpur,male,Punjab,40,473,583,1,0,No
Complete,Bahawalpur,male,Punjab,53,798,731,0,0,No
