Application Status,Admission Test,SSC,Terminal Degree,Document Verified,Offered
Complete,51,865,816,0,No
Complete,50,723,736,0,No
Complete,57,724,720,0,No
Complete,57,908,647,0,No
NotComplete,53,557,454,0,No
Complete,0,635,484,0,No
NotComplete,34,693,603,0,No
NotComplete,39,655,722,0,No
Complete,58,941,879,0,No
Complete,61,862,806,0,No
NotComplete,0,868,892,0,No
Complete,46,694,656,0,No
Complete,52,878,842,0,No
Complete,54,711,730,0,No
Complete,58,693,731,0,No
Complete,61,645,674,0,No
Complete,44,714,602,0,No
Complete,44,887,772,0,No
Complete,62,868,722,0,No
Complete,50,882,729,0,No
Complete,45,862,823,0,No
Complete,48,836,860,0,No
NotComplete,63,870,857,0,No
Complete,38,644,690,0,No
Complete,48,751,759,0,No
Complete,53,733,820,0,No
NotComplete,54,643,609,0,No
Complete,42,872,732,0,No
Complete,73,854,951,0,No
Complete,57,800,857,1,Yes
Complete,57,738,763,0,No
NotComplete,63,801,780,0,No
Complete,0,672,494,0,No
NotComplete,57,517,568,0,No
Complete,49,805,839,0,No
Complete,69,846,865,1,Yes
NotComplete,47,691,679,0,No
NotComplete,37,845,803,0,No
Complete,57,515,490,0,No
Complete,46,450,522,0,No
NotComplete,0,830,705,0,No
Complete,56,544,570,0,No
Complete,50,727,778,0,No
Complete,49,756,1018,1,Yes
Complete,32,517,712,0,No
Complete,62,827,835,1,Yes
Complete,57,840,853,1,No
Complete,57,802,772,1,No
Complete,64,842,731,0,No
NotComplete,56,783,741,0,No
NotComplete,50,710,718,0,No
Complete,68,772,809,1,Yes
NotComplete,59,720,817,0,No
Complete,30,572,671,0,No
NotComplete,0,610,557,0,No
Complete,50,500,782,0,No
NotComplete,0,574,517,0,No
Complete,48,662,678,0,No
